Date,Year,Game #,Round,Region,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/14/1997,1997,5,1,NW,6,Stanford,80,11,Oklahoma,67
3/14/1997,1997,6,1,NW,3,Wake Forest,68,14,Saint Mary's,46
3/14/1997,1997,7,1,NW,7,Charlotte,79,10,Georgetown,67
3/14/1997,1997,8,1,NW,2,Utah,75,15,Navy,61
3/14/1997,1997,9,1,SW,1,Minnesota,78,16,Texas St.,46
3/14/1997,1997,10,1,SW,9,Temple,62,8,Mississippi,40
3/14/1997,1997,11,1,SW,5,Tulsa,81,12,Boston University,52
3/14/1997,1997,12,1,SW,4,Clemson,68,13,Miami OH,56
3/13/1997,1997,13,1,SW,6,Iowa St.,69,11,Illinois St.,57
3/13/1997,1997,14,1,SW,3,Cincinnati,86,14,Butler,69
3/13/1997,1997,15,1,SW,7,Xavier,80,10,Vanderbilt,68
3/13/1997,1997,16,1,SW,2,UCLA,109,15,Charleston Southern,75
3/13/1997,1997,17,1,NE,1,North Carolina,82,16,Fairfield,74
3/13/1997,1997,18,1,NE,9,Colorado,80,8,Indiana,62
3/13/1997,1997,19,1,NE,5,California,55,12,Princeton,52
3/13/1997,1997,20,1,NE,4,Villanova,101,13,LIU Brooklyn,91
3/14/1997,1997,21,1,NE,6,Louisville,65,11,Massachusetts,57
3/14/1997,1997,22,1,NE,3,New Mexico,59,14,Old Dominion,55
3/14/1997,1997,23,1,NE,10,Texas,71,7,Wisconsin,58
3/14/1997,1997,24,1,NE,15,Coppin St.,78,2,South Carolina,65
3/13/1997,1997,25,1,SE,1,Kansas,78,16,Jackson St.,64
3/13/1997,1997,26,1,SE,8,Purdue,83,9,Rhode Island,76
3/13/1997,1997,27,1,SE,12,Charleston,75,5,Maryland,66
3/13/1997,1997,28,1,SE,4,Arizona,65,13,South Alabama,57
3/14/1997,1997,29,1,SE,6,Illinois,90,11,USC,77
3/14/1997,1997,30,1,SE,14,Chattanooga,73,3,Georgia,70
3/14/1997,1997,31,1,SE,10,Providence,81,7,Marquette,59
3/14/1997,1997,32,1,SE,2,Duke,81,15,Murray St.,78
3/15/1997,1997,33,2,NW,1,Kentucky,75,8,Iowa,69
3/15/1997,1997,34,2,NW,4,Saint Joseph's,81,5,Boston College,77
3/16/1997,1997,35,2,NW,6,Stanford,72,3,Wake Forest,66
3/16/1997,1997,36,2,NW,2,Utah,77,7,Charlotte,58
3/16/1997,1997,37,2,SW,1,Minnesota,76,9,Temple,57
3/16/1997,1997,38,2,SW,4,Clemson,65,5,Tulsa,59
3/15/1997,1997,39,2,SW,6,Iowa St.,67,3,Cincinnati,66
3/15/1997,1997,40,2,SW,2,UCLA,96,7,Xavier,83
3/15/1997,1997,41,2,NE,1,North Carolina,73,9,Colorado,56
3/15/1997,1997,42,2,NE,5,California,75,4,Villanova,68
3/16/1997,1997,43,2,NE,6,Louisville,64,3,New Mexico,63
3/16/1997,1997,44,2,NE,10,Texas,82,15,Coppin St.,81
3/15/1997,1997,45,2,SE,1,Kansas,75,8,Purdue,61
3/15/1997,1997,46,2,SE,4,Arizona,73,12,Charleston Southern,69
3/16/1997,1997,47,2,SE,14,Chattanooga,75,6,Illinois,63
3/16/1997,1997,48,2,SE,10,Providence,98,2,Duke,87
3/20/1997,1997,49,3,NW,1,Kentucky,83,4,Saint Joseph's,68
3/20/1997,1997,50,3,NW,2,Utah,82,6,Stanford,77
3/20/1997,1997,51,3,SW,1,Minnesota,90,4,Clemson,84
3/20/1997,1997,52,3,SW,2,UCLA,74,6,Iowa St.,73
3/21/1997,1997,53,3,NE,1,North Carolina,73,5,California,67
3/21/1997,1997,54,3,NE,6,Louisville,78,10,Texas,63
3/21/1997,1997,55,3,SE,4,Arizona,85,1,Kansas,82
3/21/1997,1997,56,3,SE,10,Providence,71,14,Chattanooga,65
3/22/1997,1997,57,4,NW,1,Kentucky,72,2,Utah,59
3/22/1997,1997,58,4,SW,1,Minnesota,80,2,UCLA,72
3/23/1997,1997,59,4,NE,1,North Carolina,97,6,Louisville,74
3/23/1997,1997,60,4,SE,4,Arizona,96,10,Providence,92
3/29/1997,1997,61,5,F4,1,Kentucky,78,1,Minnesota,69
3/29/1997,1997,62,5,F4,4,Arizona,66,1,North Carolina,58
3/31/1997,1997,63,6,Champ,4,Arizona,84,1,Kentucky,79
3/12/1998,1998,1,1,NW,1,North Carolina,88,16,Navy,52
3/12/1998,1998,2,1,NW,8,Charlotte,77,9,Illinois Chicago,62
3/12/1998,1998,3,1,NW,5,Princeton,69,12,UNLV,57
3/12/1998,1998,4,1,NW,4,Michigan St.,83,13,Eastern Michigan,71
3/12/1998,1998,5,1,NW,11,Washington,69,6,Xavier,68
3/12/1998,1998,6,1,NW,14,Richmond,62,3,South Carolina,61
3/12/1998,1998,7,1,NW,7,Indiana,94,10,Oklahoma,87
3/12/1998,1998,8,1,NW,2,Connecticut,93,15,Fairleigh Dickinson,85
3/12/1998,1998,9,1,SW,1,Arizona,99,16,Nicholls St.,60
3/12/1998,1998,10,1,SW,9,Illinois St.,82,8,Tennessee,81
3/12/1998,1998,11,1,SW,5,Illinois,64,12,South Alabama,51
3/12/1998,1998,12,1,SW,4,Maryland,82,13,Utah St.,68
3/12/1998,1998,13,1,SW,6,Arkansas,74,11,Nebraska,65
3/12/1998,1998,14,1,SW,3,Utah,85,14,San Francisco,68
3/12/1998,1998,15,1,SW,10,West Virginia,82,7,Temple,52
3/12/1998,1998,16,1,SW,2,Cincinnati,65,15,Northern Arizona,62
3/13/1998,1998,17,1,NE,1,Kansas,110,16,Prairie View A&M,52
3/13/1998,1998,18,1,NE,8,Rhode Island,97,9,Murray St.,74
3/13/1998,1998,19,1,NE,12,Florida St.,96,5,TCU,87
3/13/1998,1998,20,1,NE,13,Valparaiso,70,4,Mississippi,69
3/13/1998,1998,21,1,NE,11,Western Michigan,75,6,Clemson,72
3/13/1998,1998,22,1,NE,3,Stanford,67,14,Charleston Southern,57
3/13/1998,1998,23,1,NE,10,Detroit,66,7,St. John's,64
3/13/1998,1998,24,1,NE,2,Purdue,95,15,Delaware,56
3/13/1998,1998,25,1,SE,1,Duke,99,16,Radford,63
3/13/1998,1998,26,1,SE,8,Oklahoma St.,74,9,George Washington,59
3/13/1998,1998,27,1,SE,5,Syracuse,63,12,Iona,61
3/13/1998,1998,28,1,SE,4,New Mexico,79,13,Butler,62
3/13/1998,1998,29,1,SE,6,UCLA,65,11,Miami FL,62
3/13/1998,1998,30,1,SE,3,Michigan,80,14,Davidson,61
3/13/1998,1998,31,1,SE,10,Saint Louis,51,7,Massachusetts,46
3/13/1998,1998,32,1,SE,2,Kentucky,82,15,South Carolina St.,67
3/14/1998,1998,33,2,NW,1,North Carolina,93,8,Charlotte,83
3/14/1998,1998,34,2,NW,4,Michigan St.,63,5,Princeton,56
3/14/1998,1998,35,2,NW,11,Washington,87,14,Richmond,66
3/14/1998,1998,36,2,NW,2,Connecticut,78,7,Indiana,68
3/14/1998,1998,37,2,SW,1,Arizona,82,9,Illinois St.,49
3/14/1998,1998,38,2,SW,4,Maryland,67,5,Illinois,61
3/14/1998,1998,39,2,SW,3,Utah,75,6,Arkansas,69
3/14/1998,1998,40,2,SW,10,West Virginia,75,2,Cincinnati,74
3/15/1998,1998,41,2,NE,8,Rhode Island,80,1,Kansas,75
3/15/1998,1998,42,2,NE,13,Valparaiso,83,12,Florida St.,77
3/15/1998,1998,43,2,NE,3,Stanford,83,11,Western Michigan,65
3/15/1998,1998,44,2,NE,2,Purdue,80,10,Detroit,65
3/15/1998,1998,45,2,SE,1,Duke,79,8,Oklahoma St.,73
3/15/1998,1998,46,2,SE,5,Syracuse,56,4,New Mexico,46
3/15/1998,1998,47,2,SE,6,UCLA,85,3,Michigan,82
3/15/1998,1998,48,2,SE,2,Kentucky,88,10,Saint Louis,61
3/19/1998,1998,49,3,NW,1,North Carolina,73,4,Michigan St.,58
3/19/1998,1998,50,3,NW,2,Connecticut,75,11,Washington,74
3/19/1998,1998,51,3,SW,1,Arizona,87,4,Maryland,79
3/19/1998,1998,52,3,SW,3,Utah,65,10,West Virginia,62
3/20/1998,1998,53,3,NE,8,Rhode Island,74,13,Valparaiso,68
3/20/1998,1998,54,3,NE,3,Stanford,67,2,Purdue,59
3/20/1998,1998,55,3,SE,1,Duke,80,5,Syracuse,67
3/20/1998,1998,56,3,SE,2,Kentucky,94,6,UCLA,68
3/21/1998,1998,57,4,NW,1,North Carolina,75,2,Connecticut,64
3/21/1998,1998,58,4,SW,3,Utah,76,1,Arizona,51
3/22/1998,1998,59,4,NE,3,Stanford,79,8,Rhode Island,77
3/22/1998,1998,60,4,SE,2,Kentucky,86,1,Duke,84
3/28/1998,1998,61,5,F4,3,Utah,65,1,North Carolina,59
3/28/1998,1998,62,5,F4,2,Kentucky,86,3,Stanford,85
3/30/1998,1998,63,6,Champ,2,Kentucky,78,3,Utah,69
3/12/1999,1999,1,1,NW,1,Duke,99,16,Florida A&M,58
3/12/1999,1999,2,1,NW,9,Tulsa,62,8,Charleston Southern,53
3/12/1999,1999,3,1,NW,12,Missouri St.,43,5,Wisconsin,32
3/12/1999,1999,4,1,NW,4,Tennessee,62,13,Delaware,52
3/12/1999,1999,5,1,NW,6,Temple,61,11,Kent St.,54
3/12/1999,1999,6,1,NW,3,Cincinnati,72,14,George Mason,48
3/12/1999,1999,7,1,NW,10,Purdue,58,7,Texas,54
3/12/1999,1999,8,1,NW,2,Miami FL,75,15,Lafayette,54
3/12/1999,1999,9,1,SW,1,Michigan St.,76,16,Mount St. Mary's,53
3/12/1999,1999,10,1,SW,9,Mississippi,72,8,Villanova,70
3/12/1999,1999,11,1,SW,5,Charlotte,81,12,Rhode Island,70
3/12/1999,1999,12,1,SW,13,Oklahoma,61,4,Arizona,60
3/12/1999,1999,13,1,SW,6,Kansas,95,11,Evansville,74
3/12/1999,1999,14,1,SW,3,Kentucky,82,14,New Mexico St.,60
3/12/1999,1999,15,1,SW,10,Miami OH,59,7,Washington,58
3/12/1999,1999,16,1,SW,2,Utah,80,15,Arkansas St.,58
3/11/1999,1999,17,1,NE,1,Auburn,80,16,Winthrop,41
3/11/1999,1999,18,1,NE,9,Oklahoma St.,69,8,Syracuse,61
3/11/1999,1999,19,1,NE,12,Detroit,56,5,UCLA,53
3/11/1999,1999,20,1,NE,4,Ohio St.,72,13,Murray St.,58
3/11/1999,1999,21,1,NE,6,Indiana,108,11,George Washington,88
3/11/1999,1999,22,1,NE,3,St. John's,69,14,Samford,43
3/11/1999,1999,23,1,NE,10,Creighton,62,7,Louisville,58
3/11/1999,1999,24,1,NE,2,Maryland,82,15,Valparaiso,60
3/11/1999,1999,25,1,SE,1,Connecticut,91,16,UTSA,66
3/11/1999,1999,26,1,SE,9,New Mexico,61,8,Missouri,59
3/11/1999,1999,27,1,SE,5,Iowa,77,12,UAB,64
3/11/1999,1999,28,1,SE,4,Arkansas,94,13,Siena,80
3/11/1999,1999,29,1,SE,6,Florida,75,11,Penn,61
3/11/1999,1999,30,1,SE,14,Weber St.,76,3,North Carolina,74
3/11/1999,1999,31,1,SE,10,Gonzaga,75,7,Minnesota,63
3/11/1999,1999,32,1,SE,2,Stanford,69,15,Alcorn St.,57
3/14/1999,1999,33,2,NW,1,Duke,97,9,Tulsa,56
3/14/1999,1999,34,2,NW,12,Missouri St.,81,4,Tennessee,51
3/14/1999,1999,35,2,NW,6,Temple,64,3,Cincinnati,54
3/14/1999,1999,36,2,NW,10,Purdue,73,2,Miami FL,63
3/14/1999,1999,37,2,SW,1,Michigan St.,74,9,Mississippi,66
3/14/1999,1999,38,2,SW,13,Oklahoma,85,5,Charlotte,72
3/14/1999,1999,39,2,SW,3,Kentucky,92,6,Kansas,88
3/14/1999,1999,40,2,SW,10,Miami OH,66,2,Utah,58
3/13/1999,1999,41,2,NE,1,Auburn,81,9,Oklahoma St.,74
3/13/1999,1999,42,2,NE,4,Ohio St.,75,12,Detroit,44
3/13/1999,1999,43,2,NE,3,St. John's,86,6,Indiana,61
3/13/1999,1999,44,2,NE,2,Maryland,75,10,Creighton,63
3/13/1999,1999,45,2,SE,1,Connecticut,78,9,New Mexico,56
3/13/1999,1999,46,2,SE,5,Iowa,82,4,Arkansas,72
3/13/1999,1999,47,2,SE,6,Florida,82,14,Weber St.,74
3/13/1999,1999,48,2,SE,10,Gonzaga,82,2,Stanford,74
3/19/1999,1999,49,3,NW,1,Duke,78,12,Missouri St.,61
3/19/1999,1999,50,3,NW,6,Temple,77,10,Purdue,55
3/19/1999,1999,51,3,SW,1,Michigan St.,54,13,Oklahoma,46
3/19/1999,1999,52,3,SW,3,Kentucky,58,10,Miami OH,43
3/18/1999,1999,53,3,NE,4,Ohio St.,72,1,Auburn,64
3/18/1999,1999,54,3,NE,3,St. John's,76,2,Maryland,62
3/18/1999,1999,55,3,SE,1,Connecticut,78,5,Iowa,68
3/18/1999,1999,56,3,SE,10,Gonzaga,73,6,Florida,72
3/21/1999,1999,57,4,NW,1,Duke,85,6,Temple,64
3/21/1999,1999,58,4,SW,1,Michigan St.,73,3,Kentucky,66
3/20/1999,1999,59,4,NE,4,Ohio St.,77,3,St. John's,74
3/20/1999,1999,60,4,SE,1,Connecticut,67,10,Gonzaga,62
3/27/1999,1999,61,5,F4,1,Duke,68,1,Michigan St.,62
3/27/1999,1999,62,5,F4,1,Connecticut,64,4,Ohio St.,58
3/29/1999,1999,63,6,Champ,1,Connecticut,77,1,Duke,74
3/16/2000,2000,1,1,NW,1,Arizona,71,16,Jackson St.,47
3/16/2000,2000,2,1,NW,8,Wisconsin,66,9,Fresno St.,56
3/16/2000,2000,3,1,NW,5,Texas,77,12,Indiana St.,61
3/16/2000,2000,4,1,NW,4,LSU,64,13,Southeast Missouri St.,61
3/16/2000,2000,5,1,NW,6,Purdue,62,11,Dayton,61
3/16/2000,2000,6,1,NW,3,Oklahoma,74,14,Winthrop,60
3/16/2000,2000,7,1,NW,10,Gonzaga,77,7,Louisville,66
3/16/2000,2000,8,1,NW,2,St. John's,61,15,Northern Arizona,56
3/16/2000,2000,9,1,SW,1,Michigan St.,65,16,Valparaiso,38
3/16/2000,2000,10,1,SW,8,Utah,48,9,Saint Louis,45
3/16/2000,2000,11,1,SW,5,Kentucky,85,12,St. Bonaventure,80
3/16/2000,2000,12,1,SW,4,Syracuse,79,13,Samford,65
3/16/2000,2000,13,1,SW,6,UCLA,65,11,Ball St.,57
3/16/2000,2000,14,1,SW,3,Maryland,74,14,Iona,59
3/16/2000,2000,15,1,SW,7,Auburn,72,10,Creighton,69
3/16/2000,2000,16,1,SW,2,Iowa St.,88,15,Central Connecticut,78
3/17/2000,2000,17,1,NE,1,Duke,82,16,Lamar,55
3/17/2000,2000,18,1,NE,8,Kansas,81,9,DePaul,77
3/17/2000,2000,19,1,NE,5,Florida,69,12,Butler,68
3/17/2000,2000,20,1,NE,4,Illinois,68,13,Penn,58
3/17/2000,2000,21,1,NE,11,Pepperdine,77,6,Indiana,57
3/17/2000,2000,22,1,NE,3,Oklahoma St.,86,14,Hofstra,66
3/17/2000,2000,23,1,NE,10,Seton Hall,72,7,Oregon,71
3/17/2000,2000,24,1,NE,2,Temple,73,15,Lafayette,47
3/17/2000,2000,25,1,SE,1,Stanford,84,16,South Carolina St.,65
3/17/2000,2000,26,1,SE,8,North Carolina,84,9,Missouri,70
3/17/2000,2000,27,1,SE,5,Connecticut,75,12,Utah St.,67
3/17/2000,2000,28,1,SE,4,Tennessee,63,13,Louisiana Lafayette,58
3/17/2000,2000,29,1,SE,6,Miami FL,75,11,Arkansas,71
3/17/2000,2000,30,1,SE,3,Ohio St.,87,14,Appalachian St.,61
3/17/2000,2000,31,1,SE,7,Tulsa,89,10,UNLV,62
3/17/2000,2000,32,1,SE,2,Cincinnati,64,15,UNC Wilmington,47
3/18/2000,2000,33,2,NW,8,Wisconsin,66,1,Arizona,59
3/18/2000,2000,34,2,NW,4,LSU,72,5,Texas,67
3/18/2000,2000,35,2,NW,6,Purdue,66,3,Oklahoma,62
3/18/2000,2000,36,2,NW,10,Gonzaga,82,2,St. John's,76
3/18/2000,2000,37,2,SW,1,Michigan St.,73,8,Utah,61
3/18/2000,2000,38,2,SW,4,Syracuse,52,5,Kentucky,50
3/18/2000,2000,39,2,SW,6,UCLA,105,3,Maryland,70
3/18/2000,2000,40,2,SW,2,Iowa St.,79,7,Auburn,60
3/19/2000,2000,41,2,NE,1,Duke,69,8,Kansas,64
3/19/2000,2000,42,2,NE,5,Florida,93,4,Illinois,76
3/19/2000,2000,43,2,NE,3,Oklahoma St.,75,11,Pepperdine,67
3/19/2000,2000,44,2,NE,10,Seton Hall,67,2,Temple,65
3/19/2000,2000,45,2,SE,8,North Carolina,60,1,Stanford,53
3/19/2000,2000,46,2,SE,4,Tennessee,65,5,Connecticut,51
3/19/2000,2000,47,2,SE,6,Miami FL,75,3,Ohio St.,62
3/19/2000,2000,48,2,SE,7,Tulsa,69,2,Cincinnati,61
3/23/2000,2000,49,3,NW,8,Wisconsin,61,4,LSU,48
3/23/2000,2000,50,3,NW,6,Purdue,75,10,Gonzaga,66
3/23/2000,2000,51,3,SW,1,Michigan St.,75,4,Syracuse,58
3/23/2000,2000,52,3,SW,2,Iowa St.,80,6,UCLA,56
3/24/2000,2000,53,3,NE,5,Florida,87,1,Duke,78
3/24/2000,2000,54,3,NE,3,Oklahoma St.,68,10,Seton Hall,66
3/24/2000,2000,55,3,SE,8,North Carolina,74,4,Tennessee,69
3/24/2000,2000,56,3,SE,7,Tulsa,80,6,Miami FL,71
3/25/2000,2000,57,4,NW,8,Wisconsin,64,6,Purdue,60
3/25/2000,2000,58,4,SW,1,Michigan St.,75,2,Iowa St.,64
3/26/2000,2000,59,4,NE,5,Florida,77,3,Oklahoma St.,65
3/26/2000,2000,60,4,SE,8,North Carolina,59,7,Tulsa,55
4/1/2000,2000,61,5,F4,1,Michigan St.,53,8,Wisconsin,41
4/1/2000,2000,62,5,F4,5,Florida,71,8,North Carolina,59
4/3/2000,2000,63,6,Champ,1,Michigan St.,89,5,Florida,76
3/13/2001,2001,-1,PI,PI,16,Northwestern St.,71,16,Winthrop,67
3/16/2001,2001,1,1,NW,1,Illinois,96,16,Northwestern St.,54
3/16/2001,2001,2,1,NW,9,Charlotte,70,8,Tennessee,63
3/16/2001,2001,3,1,NW,5,Syracuse,79,12,Hawaii,69
3/16/2001,2001,4,1,NW,4,Kansas,99,13,Cal St. Northridge,75
3/16/2001,2001,5,1,NW,6,Notre Dame,83,11,Xavier,71
3/16/2001,2001,6,1,NW,3,Mississippi,72,14,Iona,70
3/16/2001,2001,7,1,NW,10,Butler,79,7,Wake Forest,63
3/16/2001,2001,8,1,NW,2,Arizona,101,15,Eastern Illinois,76
3/16/2001,2001,9,1,SW,1,Michigan St.,69,16,Alabama St.,35
3/16/2001,2001,10,1,SW,9,Fresno St.,82,8,California,70
3/16/2001,2001,11,1,SW,12,Gonzaga,86,5,Virginia,85
3/16/2001,2001,12,1,SW,13,Indiana St.,70,4,Oklahoma,68
3/16/2001,2001,13,1,SW,11,Temple,79,6,Texas,65
3/16/2001,2001,14,1,SW,3,Florida,69,14,Western Kentucky,56
3/16/2001,2001,15,1,SW,7,Penn St.,69,10,Providence,59
3/16/2001,2001,16,1,SW,2,North Carolina,70,15,Princeton,48
3/15/2001,2001,17,1,NE,1,Duke,95,16,Monmouth,52
3/15/2001,2001,18,1,NE,9,Missouri,70,8,Georgia,68
3/15/2001,2001,19,1,NE,12,Utah St.,77,5,Ohio St.,68
3/15/2001,2001,20,1,NE,4,UCLA,61,13,Hofstra,48
3/15/2001,2001,21,1,NE,6,USC,69,11,Oklahoma St.,54
3/15/2001,2001,22,1,NE,3,Boston College,68,14,Southern Utah,65
3/15/2001,2001,23,1,NE,7,Iowa,69,10,Creighton,56
3/15/2001,2001,24,1,NE,2,Kentucky,72,15,Holy Cross,68
3/15/2001,2001,25,1,SE,1,Stanford,89,16,UNC Greensboro,60
3/15/2001,2001,26,1,SE,9,Saint Joseph's,66,8,Georgia Tech,62
3/15/2001,2001,27,1,SE,5,Cincinnati,84,12,BYU,59
3/15/2001,2001,28,1,SE,13,Kent St.,77,4,Indiana,73
3/15/2001,2001,29,1,SE,11,Georgia St.,50,6,Wisconsin,49
3/15/2001,2001,30,1,SE,3,Maryland,83,14,George Mason,80
3/15/2001,2001,31,1,SE,10,Georgetown,63,7,Arkansas,61
3/15/2001,2001,32,1,SE,15,Hampton,58,2,Iowa St.,57
3/18/2001,2001,33,2,NW,1,Illinois,79,9,Charlotte,61
3/18/2001,2001,34,2,NW,4,Kansas,87,5,Syracuse,58
3/18/2001,2001,35,2,NW,3,Mississippi,59,6,Notre Dame,56
3/18/2001,2001,36,2,NW,2,Arizona,73,10,Butler,52
3/18/2001,2001,37,2,SW,1,Michigan St.,81,9,Fresno St.,65
3/18/2001,2001,38,2,SW,12,Gonzaga,85,13,Indiana St.,68
3/18/2001,2001,39,2,SW,11,Temple,75,3,Florida,54
3/18/2001,2001,40,2,SW,7,Penn St.,82,2,North Carolina,74
3/17/2001,2001,41,2,NE,1,Duke,94,9,Missouri,81
3/17/2001,2001,42,2,NE,4,UCLA,75,12,Utah St.,70
3/17/2001,2001,43,2,NE,6,USC,74,3,Boston College,71
3/17/2001,2001,44,2,NE,2,Kentucky,92,7,Iowa,79
3/17/2001,2001,45,2,SE,1,Stanford,90,9,Saint Joseph's,83
3/17/2001,2001,46,2,SE,5,Cincinnati,66,13,Kent St.,43
3/17/2001,2001,47,2,SE,3,Maryland,79,11,Georgia St.,60
3/17/2001,2001,48,2,SE,10,Georgetown,76,15,Hampton,57
3/23/2001,2001,49,3,NW,1,Illinois,80,4,Kansas,64
3/23/2001,2001,50,3,NW,2,Arizona,66,3,Mississippi,56
3/23/2001,2001,51,3,SW,1,Michigan St.,77,12,Gonzaga,62
3/23/2001,2001,52,3,SW,11,Temple,84,7,Penn St.,72
3/22/2001,2001,53,3,NE,1,Duke,76,4,UCLA,63
3/22/2001,2001,54,3,NE,6,USC,80,2,Kentucky,76
3/22/2001,2001,55,3,SE,1,Stanford,78,5,Cincinnati,65
3/22/2001,2001,56,3,SE,3,Maryland,76,10,Georgetown,66
3/25/2001,2001,57,4,NW,2,Arizona,87,1,Illinois,81
3/25/2001,2001,58,4,SW,1,Michigan St.,69,11,Temple,62
3/24/2001,2001,59,4,NE,1,Duke,79,6,USC,69
3/24/2001,2001,60,4,SE,3,Maryland,87,1,Stanford,73
3/31/2001,2001,61,5,F4,2,Arizona,80,1,Michigan St.,61
3/31/2001,2001,62,5,F4,1,Duke,95,3,Maryland,84
4/2/2001,2001,63,6,Champ,1,Duke,82,2,Arizona,72
3/12/2002,2002,-1,PI,PI,16,Siena,81,16,Alcorn St.,77
3/14/2002,2002,1,1,NW,1,Duke,84,16,Winthrop,37
3/14/2002,2002,2,1,NW,8,Notre Dame,82,9,Charlotte,63
3/14/2002,2002,3,1,NW,5,Indiana,75,12,Utah,56
3/14/2002,2002,4,1,NW,13,UNC Wilmington,93,4,USC,89
3/15/2002,2002,5,1,NW,6,California,82,11,Penn,75
3/15/2002,2002,6,1,NW,3,Pittsburgh,71,14,Central Connecticut,54
3/14/2002,2002,7,1,NW,10,Kent St.,69,7,Oklahoma St.,61
3/14/2002,2002,8,1,NW,2,Alabama,86,15,Florida Atlantic,78
3/15/2002,2002,9,1,SW,1,Cincinnati,90,16,Boston University,52
3/15/2002,2002,10,1,SW,8,UCLA,80,9,Mississippi,58
3/14/2002,2002,11,1,SW,12,Missouri,93,5,Miami FL,80
3/14/2002,2002,12,1,SW,4,Ohio St.,69,13,Davidson,64
3/14/2002,2002,13,1,SW,11,Wyoming,73,6,Gonzaga,66
3/14/2002,2002,14,1,SW,3,Arizona,86,14,UC Santa Barbara,81
3/15/2002,2002,15,1,SW,7,Xavier,70,10,Hawaii,58
3/15/2002,2002,16,1,SW,2,Oklahoma,71,15,Illinois Chicago,63
3/15/2002,2002,17,1,NE,1,Maryland,85,16,Siena,70
3/15/2002,2002,18,1,NE,8,Wisconsin,80,9,St. John's,70
3/14/2002,2002,19,1,NE,12,Tulsa,71,5,Marquette,69
3/14/2002,2002,20,1,NE,4,Kentucky,83,13,Valparaiso,68
3/15/2002,2002,21,1,NE,11,Southern Illinois,76,6,Texas Tech,68
3/15/2002,2002,22,1,NE,3,Georgia,85,14,Murray St.,68
3/15/2002,2002,23,1,NE,7,North Carolina St.,69,10,Michigan St.,58
3/15/2002,2002,24,1,NE,2,Connecticut,78,15,Hampton,67
3/14/2002,2002,25,1,SE,1,Kansas,70,16,Holy Cross,59
3/14/2002,2002,26,1,SE,8,Stanford,84,9,Western Kentucky,68
3/15/2002,2002,27,1,SE,12,Creighton,83,5,Florida,82
3/15/2002,2002,28,1,SE,4,Illinois,93,13,San Diego St.,64
3/15/2002,2002,29,1,SE,6,Texas,70,11,Boston College,57
3/15/2002,2002,30,1,SE,3,Mississippi St.,70,14,McNeese St.,58
3/14/2002,2002,31,1,SE,7,Wake Forest,83,10,Pepperdine,74
3/14/2002,2002,32,1,SE,2,Oregon,81,15,Montana,62
3/16/2002,2002,33,2,NW,1,Duke,84,8,Notre Dame,77
3/16/2002,2002,34,2,NW,5,Indiana,76,13,UNC Wilmington,67
3/17/2002,2002,35,2,NW,3,Pittsburgh,63,6,California,50
3/16/2002,2002,36,2,NW,10,Kent St.,71,2,Alabama,58
3/17/2002,2002,37,2,SW,8,UCLA,105,1,Cincinnati,101
3/16/2002,2002,38,2,SW,12,Missouri,83,4,Ohio St.,67
3/16/2002,2002,39,2,SW,3,Arizona,68,11,Wyoming,60
3/17/2002,2002,40,2,SW,2,Oklahoma,78,7,Xavier,65
3/17/2002,2002,41,2,NE,1,Maryland,87,8,Wisconsin,57
3/16/2002,2002,42,2,NE,4,Kentucky,87,12,Tulsa,82
3/17/2002,2002,43,2,NE,11,Southern Illinois,77,3,Georgia,75
3/17/2002,2002,44,2,NE,2,Connecticut,77,7,North Carolina St.,74
3/16/2002,2002,45,2,SE,1,Kansas,86,8,Stanford,63
3/17/2002,2002,46,2,SE,4,Illinois,72,12,Creighton,60
3/17/2002,2002,47,2,SE,6,Texas,68,3,Mississippi St.,64
3/16/2002,2002,48,2,SE,2,Oregon,92,7,Wake Forest,87
3/21/2002,2002,49,3,NW,5,Indiana,74,1,Duke,73
3/21/2002,2002,50,3,NW,10,Kent St.,78,3,Pittsburgh,73
3/21/2002,2002,51,3,SW,12,Missouri,82,8,UCLA,73
3/21/2002,2002,52,3,SW,2,Oklahoma,88,3,Arizona,67
3/22/2002,2002,53,3,NE,1,Maryland,78,4,Kentucky,68
3/22/2002,2002,54,3,NE,2,Connecticut,71,11,Southern Illinois,59
3/22/2002,2002,55,3,SE,1,Kansas,73,4,Illinois,69
3/22/2002,2002,56,3,SE,2,Oregon,72,6,Texas,70
3/23/2002,2002,57,4,NW,5,Indiana,81,10,Kent St.,69
3/23/2002,2002,58,4,SW,2,Oklahoma,81,12,Missouri,75
3/24/2002,2002,59,4,NE,1,Maryland,90,2,Connecticut,82
3/24/2002,2002,60,4,SE,1,Kansas,104,2,Oregon,86
3/30/2002,2002,61,5,F4,5,Indiana,73,2,Oklahoma,64
3/30/2002,2002,62,5,F4,1,Maryland,97,1,Kansas,88
4/1/2002,2002,63,6,Champ,1,Maryland,64,5,Indiana,52
3/18/2003,2003,-1,PI,PI,16,UNC Asheville,92,16,Texas Southern,84
3/21/2003,2003,1,1,NW,1,Kentucky,95,16,IUPUI,64
3/21/2003,2003,2,1,NW,9,Utah,60,8,Oregon,58
3/20/2003,2003,3,1,NW,5,Wisconsin,81,12,Weber St.,74
3/20/2003,2003,4,1,NW,13,Tulsa,84,4,Dayton,71
